listing_id,host_id,neighbourhood,room_type,property_type,bedrooms,bathrooms,accommodates,price_zar,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_score_rating,reviews_per_month,instant_bookable,last_review
1,1370,Cape Town City Centre,Private room,Apartment,2,2,4,1247,1,90,227,162,4.04,11.57,t,2024-03-08
2,1569,Cape Town City Centre,Entire home/apt,Loft,2,1,4,2208,1,30,45,285,4.03,35.62,f,2024-07-16
3,1743,Cape Town City Centre,Entire home/apt,Loft,3,3,6,1448,2,365,86,43,3.71,2.87,f,2024-09-09
4,1432,Cape Town City Centre,Entire home/apt,Villa,1,1,2,2477,1,90,128,141,4.98,4.86,f,2024-10-31
5,1312,Cape Town City Centre,Private room,Apartment,2,1,4,713,5,1125,194,69,4.71,4.31,f,2024-06-20
6,1712,Cape Town City Centre,Private room,House,2,1,4,1564,5,60,203,308,4.99,20.53,f,2024-10-21
7,1374,Cape Town City Centre,Entire home/apt,Apartment,3,3,6,2070,2,1125,13,201,4.93,10.05,t,2024-08-12
8,1690,Cape Town City Centre,Entire home/apt,Cottage,1,1,2,2157,3,60,129,209,4.49,7.46,f,2024-07-12
9,1597,Cape Town City Centre,Entire home/apt,Guesthouse,5,4,10,3125,1,90,359,245,4.84,10.65,t,2024-02-25
10,1046,Cape Town City Centre,Entire home/apt,Townhouse,3,2,6,3509,5,365,54,313,4.7,22.36,t,2024-09-18
11,1475,Cape Town City Centre,Shared room,Townhouse,2,2,4,872,5,30,247,200,3.66,10.53,t,2024-02-29
12,1467,Cape Town City Centre,Shared room,House,2,1,4,300,5,365,49,175,4.83,6.25,f,2024-06-12
13,1024,Cape Town City Centre,Entire home/apt,Studio,3,3,6,1993,2,60,264,58,4.75,5.27,f,2024-10-13
14,1645,Cape Town City Centre,Private room,House,5,5,10,539,7,365,14,207,4.92,6.09,t,2024-08-18
15,1211,Cape Town City Centre,Private room,Villa,4,4,8,646,1,1125,95,109,4.05,9.08,f,2024-02-28
16,1321,Cape Town City Centre,Entire home/apt,Townhouse,5,4,10,2049,7,1125,58,327,4.02,9.91,f,2024-11-12
17,1087,Cape Town City Centre,Entire home/apt,House,3,2,6,3280,1,60,156,302,3.68,17.76,t,2024-09-18
18,1393,Cape Town City Centre,Private room,Guesthouse,4,4,8,881,30,1125,355,294,4.88,8.4,t,2024-10-11
19,1323,Cape Town City Centre,Entire home/apt,Cottage,5,5,10,1525,5,30,248,95,4.74,2.97,f,2024-10-14
20,1426,Cape Town City Centre,Private room,Cottage,5,4,10,1012,2,30,289,251,3.55,8.37,t,2024-05-29
21,1173,Cape Town City Centre,Entire home/apt,Cottage,3,2,6,2297,1,1125,58,147,4.78,6.39,f,2024-10-04
22,1105,Cape Town City Centre,Entire home/apt,House,5,4,10,2219,1,365,134,217,4.02,6.78,t,2024-08-12
23,1706,Cape Town City Centre,Entire home/apt,Studio,2,1,4,2639,2,1125,71,301,4.94,9.41,t,2024-01-31
24,1552,Cape Town City Centre,Private room,House,3,2,6,1027,3,90,293,305,3.9,9.24,t,2024-03-10
25,1130,Cape Town City Centre,Private room,House,1,1,2,1412,2,90,126,335,4.64,12.41,f,2024-09-07
26,1463,Cape Town City Centre,Entire home/apt,Apartment,3,3,6,1770,7,1125,142,192,4.54,5.65,f,2024-08-20
27,1749,Cape Town City Centre,Private room,Cottage,3,2,6,1969,1,1125,203,47,3.83,2.47,t,2024-09-10
28,1561,Cape Town City Centre,Entire home/apt,Townhouse,3,3,6,2338,30,90,349,172,4.64,24.57,t,2024-11-16
29,1452,Cape Town City Centre,Private room,Cottage,1,1,2,1210,7,60,352,80,4.97,2.35,f,2024-03-22
30,1085,Cape Town City Centre,Entire home/apt,Studio,1,1,2,1768,1,365,320,128,3.96,4.57,t,2024-08-07
31,1219,Cape Town City Centre,Shared room,Cottage,1,1,2,699,2,1125,115,0,,0.0,f,
32,1433,Cape Town City Centre,Entire home/apt,House,1,1,2,2558,1,60,196,61,3.63,1.97,t,2024-02-22
33,1392,Cape Town City Centre,Entire home/apt,House,3,3,6,1556,1,1125,288,70,3.51,2.69,t,2024-08-13
34,1422,Cape Town City Centre,Entire home/apt,Townhouse,2,1,4,1287,2,30,51,77,3.71,8.56,f,2024-06-28
35,1284,Cape Town City Centre,Private room,Apartment,3,3,6,1151,3,30,337,126,4.81,10.5,t,2024-07-19
36,1507,Cape Town City Centre,Entire home/apt,Guesthouse,1,1,2,1931,2,365,326,122,4.39,5.55,t,2024-07-03
37,1431,Cape Town City Centre,Entire home/apt,Studio,2,2,4,2342,30,30,8,291,4.38,48.5,f,2024-04-20
38,1519,Cape Town City Centre,Entire home/apt,Villa,1,1,2,1489,7,365,42,203,4.46,8.83,t,2024-05-22
39,1160,Cape Town City Centre,Entire home/apt,Loft,3,2,6,1341,7,1125,324,104,4.93,4.0,t,2024-06-07
40,1060,Cape Town City Centre,Shared room,House,4,4,8,553,7,30,232,122,4.42,17.43,f,2024-12-07
41,1719,Cape Town City Centre,Shared room,Apartment,2,2,4,300,30,90,267,70,4.86,2.19,f,2024-03-26
42,1751,Cape Town City Centre,Entire home/apt,Apartment,2,2,4,1039,5,365,139,137,4.29,9.79,t,2024-09-11
43,1171,Cape Town City Centre,Private room,Studio,3,3,6,1728,3,30,293,290,4.9,32.22,t,2024-09-17
44,1251,Cape Town City Centre,Entire home/apt,Apartment,1,1,2,1480,5,365,76,6,3.77,0.17,t,2024-10-10
45,1427,Cape Town City Centre,Shared room,Studio,4,3,8,1855,1,1125,190,127,4.74,4.7,t,2024-04-01
46,1477,Cape Town City Centre,Entire home/apt,Villa,1,1,2,1856,5,30,283,35,4.19,2.06,t,2024-05-29
47,1476,Cape Town City Centre,Private room,Studio,3,2,6,1210,2,1125,125,124,3.73,3.54,f,2024-01-13
48,1344,Cape Town City Centre,Entire home/apt,Apartment,3,2,6,3105,3,30,105,4,4.29,0.31,f,2024-09-08
49,1045,Cape Town City Centre,Entire home/apt,House,2,1,4,3013,5,365,43,47,4.37,2.14,t,2024-11-22
50,1446,Cape Town City Centre,Private room,House,1,1,2,2082,3,90,161,31,4.89,1.72,f,2024-06-11
51,1140,Cape Town City Centre,Private room,Townhouse,3,3,6,300,2,30,84,103,4.83,6.44,f,2024-03-02
52,1463,Cape Town City Centre,Private room,Villa,3,2,6,365,3,30,46,106,3.74,3.93,f,2024-12-26
53,1152,Cape Town City Centre,Shared room,Apartment,1,1,2,564,5,365,262,167,4.71,11.13,f,2024-03-30
