review_id,listing_id,reviewer_id,date,comments
1,1,38316,2022-01-07,Clean and comfortable.
2,1,52643,2023-11-21,"Lovely place, highly recommend!"
3,1,83530,2023-02-01,"Central location, easy access."
4,1,21222,2022-02-04,Good value for money.
5,1,44645,2023-07-31,Noisy neighbourhood at night.
6,1,33877,2022-12-16,"Lovely place, highly recommend!"
7,1,30860,2024-01-18,Host was very responsive.
8,1,58858,2022-10-30,"Not as described, disappointed."
9,1,11092,2022-10-31,"Average stay, nothing special."
10,1,47982,2023-06-23,Good value for money.
11,1,70797,2022-04-20,Clean and comfortable.
12,1,28901,2022-11-26,Small but functional.
13,1,22493,2023-01-19,"Central location, easy access."
14,1,71053,2022-10-26,Stunning property.
15,1,72729,2024-01-12,Noisy neighbourhood at night.
16,1,72836,2022-12-12,Clean and comfortable.
17,1,44563,2022-04-14,Good value for money.
18,1,37388,2022-09-09,Great host and location.
19,1,28176,2022-06-10,Good value for money.
20,1,31061,2022-05-15,"Average stay, nothing special."
21,2,36235,2022-08-07,Would definitely book again.
22,2,63189,2024-01-15,Host was very responsive.
23,2,64893,2023-09-18,Noisy neighbourhood at night.
24,2,87505,2023-11-08,Host was very responsive.
25,2,51019,2022-10-23,"Not as described, disappointed."
26,2,13702,2023-04-03,"Lovely place, highly recommend!"
27,2,97462,2022-11-24,Would definitely book again.
28,2,81890,2023-04-18,Small but functional.
29,2,68942,2023-06-15,Small but functional.
30,2,57070,2023-10-17,Host was very responsive.
31,2,92033,2023-10-10,Would definitely book again.
32,2,54862,2023-12-31,Clean and comfortable.
33,2,36950,2022-05-20,"Amazing views, will return!"
34,2,31636,2022-07-11,Stunning property.
35,2,47224,2022-04-14,Small but functional.
36,2,82878,2022-08-21,"Not as described, disappointed."
37,2,46725,2022-06-14,Good value for money.
38,2,97659,2024-01-03,Host was very responsive.
39,2,88896,2023-09-16,Great host and location.
40,2,62981,2022-03-08,Noisy neighbourhood at night.
41,3,92318,2022-03-21,Noisy neighbourhood at night.
42,3,84810,2023-02-05,"Average stay, nothing special."
43,3,73368,2023-04-15,Clean and comfortable.
44,3,20983,2022-04-11,Small but functional.
45,3,82442,2022-07-12,"Not as described, disappointed."
46,3,15905,2022-08-08,"Amazing views, will return!"
47,3,37684,2023-10-08,Host was very responsive.
48,3,29839,2023-02-19,"Not as described, disappointed."
49,3,95648,2022-08-21,"Central location, easy access."
50,3,61405,2022-06-06,"Lovely place, highly recommend!"
